"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"33";"365";"Tonje Bruem";"Reistad";"F";"NOR";"Stiklestad IL / Steinkjer Videregående Skole";"NC Fellesstart Senior, 10.01.2016";"K17";"39:40.1";"8:33.8";"2016-01-10T13:16:10.1000000";"";""
"34";"357";"Marte Eriksen";"Hensema";"F";"NOR";"Bødalen IF / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K17";"41:08.8";"10:02.5";"2016-01-10T13:16:08.8000000";"";""
"35";"372";"Malin";"Tvenge";"F";"NOR";"Skrautvål IL / Team Valdres Ski";"NC Fellesstart Senior, 10.01.2016";"K17";"41:13.5";"10:07.2";"2016-01-10T13:17:43.5000000";"";""
"36";"366";"Mari Skjevling";"Erlandsen";"F";"NOR";"Hønefoss Skiskytterklubb / Team Skiguard Buskerud";"NC Fellesstart Senior, 10.01.2016";"K17";"43:15.8";"12:09.5";"2016-01-10T13:19:45.8000000";"";""
"37";"368";"Malin";"Jøranli";"F";"NOR";"Nordre Land IL / Team Valdres Ski";"NC Fellesstart Senior, 10.01.2016";"K17";"44:51.2";"13:44.9";"2016-01-10T13:21:21.2000000";"";""
"38";"371";"Ingri";"Hovland";"F";"NOR";"Hålandsdal IL / Team Glalaks";"NC Fellesstart Senior, 10.01.2016";"K17";"45:16.9";"14:10.6";"2016-01-10T13:21:46.9000000";"";""
"39";"376";"Frida";"Svensson";"F";"SWE";"";"NC Fellesstart Senior, 10.01.2016";"K17";"45:54.2";"14:47.9";"2016-01-10T13:22:24.2000000";"";""
"40";"369";"Lina Kvitvang";"Benan";"F";"NOR";"Steinkjer SK / Steinkjer Videregående Skole";"NC Fellesstart Senior, 10.01.2016";"K17";"45:55.8";"14:49.5";"2016-01-10T13:22:25.8000000";"";""
"1";"301";"Moa";"Olsson";"F";"SWE";"";"NC Fellesstart Senior, 10.01.2016";"K18";"32:00.1";"0:00.0";"2016-01-10T12:27:00.1000000";"";""
"2";"302";"Cordelia Melèn";"Olsson";"F";"SWE";"";"NC Fellesstart Senior, 10.01.2016";"K18";"34:13.3";"2:13.2";"2016-01-10T12:29:13.3000000";"";""
"3";"292";"Toril Bakka";"Nygård";"F";"NOR";"Haltdalen IL / Meråker Videregående skole";"NC Fellesstart Senior, 10.01.2016";"K18";"34:53.0";"2:52.9";"2016-01-10T12:29:53.0000000";"";""
"1";"211";"Karoline";"Erdal";"F";"NOR";"Førde IL / NTG Geilo";"NC Fellesstart Senior, 10.01.2016";"K19";"29:52.0";"0:00.0";"2016-01-10T11:44:52.0000000";"";""
"2";"216";"Kristina";"Skjevdal";"F";"NOR";"Røros IL";"NC Fellesstart Senior, 10.01.2016";"K19";"30:16.1";"0:24.1";"2016-01-10T11:45:16.1000000";"";""
"3";"218";"Ingrid";"Grue";"F";"NOR";"Kvikne IL";"NC Fellesstart Senior, 10.01.2016";"K19";"30:57.3";"1:05.3";"2016-01-10T11:45:57.3000000";"";""
"4";"213";"Nora Huken";"Mathiesen";"F";"NOR";"Ullensaker SK / NTG Lillehammer";"NC Fellesstart Senior, 10.01.2016";"K19";"31:35.3";"1:43.3";"2016-01-10T11:46:35.3000000";"";""
"5";"228";"Ida";"Lien";"F";"NOR";"Simostranda IL / NTG Geilo";"NC Fellesstart Senior, 10.01.2016";"K19";"32:02.9";"2:10.9";"2016-01-10T11:47:02.9000000";"";""
"6";"212";"Emilie Ågheim";"Kalkenberg";"F";"NOR";"Skonseng UL";"NC Fellesstart Senior, 10.01.2016";"K19";"32:10.3";"2:18.3";"2016-01-10T11:47:10.3000000";"";""
"7";"222";"Siri";"MOHOLTH";"F";"NOR";"IL Bevern / Team Skiguard Buskerud";"NC Fellesstart Senior, 10.01.2016";"K19";"32:35.7";"2:43.7";"2016-01-10T11:47:35.7000000";"";""
"8";"232";"Hege";"Kittelsen";"F";"NOR";"Idrettslaget Dyre Vaa / Team TeVe";"NC Fellesstart Senior, 10.01.2016";"K19";"33:04.2";"3:12.2";"2016-01-10T11:48:04.2000000";"";""
"9";"242";"Mathea";"Tofte";"F";"NOR";"Vingrom IL / NTG Lillehammer";"NC Fellesstart Senior, 10.01.2016";"K19";"33:07.2";"3:15.2";"2016-01-10T11:49:37.2000000";"";""
"10";"219";"Silje";"Gløtheim";"F";"NOR";"Røros IL";"NC Fellesstart Senior, 10.01.2016";"K19";"33:08.7";"3:16.7";"2016-01-10T11:48:08.7000000";"";""
"11";"217";"Une Christiane Tronerud";"Kvelvane";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NC Fellesstart Senior, 10.01.2016";"K19";"33:32.2";"3:40.2";"2016-01-10T11:48:32.2000000";"";""
"12";"214";"Malin Auganæs";"Bergtun";"F";"NOR";"Kvam Langrenn- og Skiskyttarklubb / Team Glalaks";"NC Fellesstart Senior, 10.01.2016";"K19";"33:50.3";"3:58.3";"2016-01-10T11:48:50.3000000";"";""
"13";"223";"Vilde Olsen";"Rosvoldsve";"F";"NOR";"Byåsen Skiskytterlag / Heimdal VGS";"NC Fellesstart Senior, 10.01.2016";"K19";"34:32.2";"4:40.2";"2016-01-10T11:49:32.2000000";"";""
"14";"246";"Annie";"Lindh";"F";"SWE";"";"NC Fellesstart Senior, 10.01.2016";"K19";"34:58.3";"5:06.3";"2016-01-10T11:51:28.3000000";"";""
"15";"220";"Synne";"Flotten";"F";"NOR";"Oppdal IL / Meråker Videregående skole";"NC Fellesstart Senior, 10.01.2016";"K19";"35:03.0";"5:11.0";"2016-01-10T11:50:03.0000000";"";""
